date,Bitcoin,BTC,XBT
2017-11-05,29,6,36
2017-11-12,30,6,36
2017-11-19,28,5,29
2017-11-26,66,13,48
2017-12-03,100,18,68
2017-12-10,81,16,100
2017-12-17,100,19,62
2017-12-24,55,13,38
2017-12-31,46,12,54
2018-01-07,44,11,44
2018-01-14,55,12,37
2018-01-21,38,8,19
2018-01-28,38,8,35
2018-02-04,50,10,49
2018-02-11,30,6,28
2018-02-18,24,5,22
2018-02-25,18,4,5
2018-03-04,18,3,16
2018-03-11,18,3,27
2018-03-18,16,3,11
2018-03-25,17,3,9
2018-04-01,18,3,11
2018-04-08,17,3,16
2018-04-15,15,3,6
2018-04-22,14,3,19
2018-04-29,13,3,16
2018-05-06,13,2,17
2018-05-13,11,2,14
2018-05-20,11,2,6
2018-05-27,11,2,6
2018-06-03,10,2,8
2018-06-10,12,3,5
2018-06-17,10,2,11
2018-06-24,10,2,6
2018-07-01,10,2,11
2018-07-08,9,2,8
2018-07-15,12,2,17
2018-07-22,13,3,14
2018-07-29,11,2,6
2018-08-05,12,2,11
2018-08-12,12,2,6
2018-08-19,11,2,12
2018-08-26,10,2,17
2018-09-02,12,3,9
2018-09-09,11,2,6
2018-09-16,9,2,8
2018-09-23,9,2,11
2018-09-30,9,2,14
2018-10-07,9,2,14
2018-10-14,9,2,11
2018-10-21,9,2,12
2018-10-28,9,1,11
2018-11-04,10,2,11
2018-11-11,11,2,6
2018-11-18,15,3,8
2018-11-25,14,3,8
2018-12-02,12,2,11
2018-12-09,11,2,17
2018-12-16,12,2,15
2018-12-23,10,2,13
2018-12-30,9,2,9
2019-01-06,10,2,5
2019-01-13,9,2,5
2019-01-20,7,2,0
2019-01-27,7,2,5
2019-02-03,8,2,5
2019-02-10,7,1,6
2019-02-17,9,2,14
2019-02-24,8,2,5
2019-03-03,7,2,5
2019-03-10,6,1,0
2019-03-17,6,2,6
2019-03-24,6,1,9
2019-03-31,11,3,14
2019-04-07,9,2,11
2019-04-14,7,2,23
2019-04-21,9,2,11
2019-04-28,7,2,0
2019-05-05,11,3,8
2019-05-12,17,5,25
2019-05-19,13,3,16
2019-05-26,13,3,8
2019-06-02,10,3,8
2019-06-09,10,2,8
2019-06-16,15,4,33
2019-06-23,24,6,30
2019-06-30,16,4,17
2019-07-07,15,4,14
2019-07-14,14,3,11
2019-07-21,10,2,22
2019-07-28,11,3,6
2019-08-04,13,3,22
2019-08-11,11,3,5
2019-08-18,10,2,17
2019-08-25,9,34,8
2019-09-01,9,100,8
2019-09-08,8,36,16
2019-09-15,7,33,8
2019-09-22,11,18,15
2019-09-29,8,2,8
2019-10-06,7,2,13
2019-10-13,8,2,13
2019-10-20,9,2,10
2019-10-27,9,2,5
2019-11-03,8,2,7
2019-11-10,8,2,5
2019-11-17,8,2,19
2019-11-24,9,2,9
2019-12-01,8,2,10
2019-12-08,8,2,5
2019-12-15,8,2,13
2019-12-22,8,2,11
2019-12-29,8,2,0
2020-01-05,10,2,9
2020-01-12,10,2,21
2020-01-19,9,2,10
2020-01-26,9,2,12
2020-02-02,9,3,17
2020-02-09,11,3,16
2020-02-16,10,3,14
2020-02-23,11,2,23
2020-03-01,9,2,11
2020-03-08,17,4,4
2020-03-15,17,4,13
2020-03-22,12,3,15
2020-03-29,12,3,8
2020-04-05,13,3,9
2020-04-12,13,2,15
2020-04-19,13,3,6
2020-04-26,17,4,8
2020-05-03,19,4,13
2020-05-10,23,5,14
2020-05-17,14,3,17
2020-05-24,13,3,13
2020-05-31,12,3,8
2020-06-07,11,2,12
2020-06-14,10,2,12
2020-06-21,10,2,9
2020-06-28,11,2,4
2020-07-05,9,2,15
2020-07-12,12,2,5
2020-07-19,10,2,14
2020-07-26,15,4,17
2020-08-02,14,3,14
2020-08-09,13,3,9
2020-08-16,12,3,21
2020-08-23,10,2,0
2020-08-30,11,3,5
2020-09-06,10,3,9
2020-09-13,10,2,12
2020-09-20,9,2,19
2020-09-27,9,2,5
2020-10-04,9,2,9
2020-10-11,10,2,12
2020-10-18,14,3,7
2020-10-25,15,3,12
2020-11-01,17,4,23
